ZANAS load cell data test
18/06/2023
11:55:55
Humidity: 58.0% - Temperature: 26.0 °C - Pressure: 101367 Pa
Impulse: 169.777 N*s - Impulse Time: 4.101 s - Avg. Force:41.399 N - Max Force: 60.762N
Force(N): - Time(s)
0.0 - 27.168
0.0 - 27.253
0.0 - 27.339
0.0 - 27.424
0.0 - 27.51
0.0 - 27.595
0.0 - 27.68
0.0 - 27.766
0.0 - 27.851
0.0 - 27.937
0.0 - 28.022
0.0 - 28.108
0.0 - 28.193
0.0 - 28.278
0.0 - 28.364
0.0 - 28.449
0.0 - 28.535
0.0 - 28.62
0.0 - 28.706
0.0 - 28.791
0.0 - 28.876
0.0 - 28.962
0.0 - 29.047
0.0 - 29.133
0.0 - 29.218
0.0 - 29.304
0.0 - 29.389
0.0 - 29.475
0.0 - 29.56
0.0 - 29.645
0.0 - 29.731
0.0 - 29.816
0.0 - 29.902
0.0 - 29.987
0.0 - 30.073
0.0 - 30.158
0.0 - 30.243
0.0 - 30.329
0.0 - 30.414
0.0 - 30.5
0.0 - 30.585
0.0 - 30.671
0.0 - 30.756
0.0 - 30.841
0.0 - 30.927
0.0 - 31.012
0.0 - 31.098
0.0 - 31.183
0.0 - 31.269
0.0 - 31.354
0.0 - 31.44
0.0 - 31.525
0.0 - 31.61
0.0 - 31.696
0.0 - 31.781
0.0 - 31.867
0.0 - 31.952
0.0 - 32.038
0.0 - 32.123
0.0 - 32.208
0.0 - 32.294
0.0 - 32.379
0.0 - 32.465
0.0 - 32.55
0.0 - 32.636
0.0 - 32.721
0.0 - 32.806
0.0 - 32.892
0.0 - 32.977
0.0 - 33.063
0.0 - 33.148
0.0 - 33.234
0.0 - 33.319
0.0 - 33.404
0.0 - 33.49
0.0 - 33.575
0.0 - 33.661
0.0 - 33.746
0.0 - 33.832
0.0 - 33.917
0.0 - 34.003
0.0 - 34.088
0.0 - 34.173
0.0 - 34.259
0.0 - 34.344
0.0 - 34.43
0.0 - 34.515
0.0 - 34.601
0.0 - 34.686
0.0 - 34.771
0.0 - 34.857
0.0 - 34.942
0.0 - 35.028
0.0 - 35.113
0.0 - 35.199
0.0 - 35.284
0.0 - 35.369
0.0 - 35.455
0.0 - 35.54
0.0 - 35.626
0.0 - 35.711
0.0 - 35.797
0.0 - 35.882
0.0 - 35.967
0.0 - 36.053
0.0 - 36.138
0.0 - 36.224
0.0 - 36.309
0.0 - 36.395
0.0 - 36.48
0.0 - 36.565
0.0 - 36.651
0.0 - 36.736
0.0 - 36.822
0.0 - 36.907
0.0 - 36.993
0.0 - 37.078
0.0 - 37.163
0.0 - 37.249
0.0 - 37.334
0.0 - 37.42
0.0 - 37.505
0.0 - 37.591
0.0 - 37.676
0.0 - 37.762
0.0 - 37.847
0.0 - 37.932
0.0 - 38.018
0.0 - 38.103
0.0 - 38.189
0.0 - 38.274
0.0 - 38.36
0.0 - 38.445
0.0 - 38.53
0.0 - 38.616
0.0 - 38.701
0.0 - 38.787
0.0 - 38.872
0.0 - 38.958
0.0 - 39.043
0.0 - 39.128
0.0 - 39.214
0.0 - 39.299
0.0 - 39.385
0.0 - 39.47
