ZANAS load cell data test
18/06/2023
06:01:40
Humidity: 49.0% - Temperature: 27.0 °C - Pressure: 104225 Pa
Impulse: 88.884 N*s - Impulse Time: 3.161 s - Avg. Force:28.119 N - Max Force: 45.366N
Force(N): - Time(s)
0.0 - 0.086
0.0 - 0.171
0.0 - 0.257
0.0 - 0.342
0.0 - 0.427
0.0 - 0.513
0.0 - 0.598
0.0 - 1.538
0.0 - 1.624
0.01 - 1.709
0.0 - 1.795
0.0 - 1.88
0.0 - 1.965
0.0 - 2.051
0.0 - 2.136
0.0 - 2.222
0.0 - 2.307
0.0 - 2.393
0.0 - 2.478
0.0 - 2.564
0.0 - 2.649
0.0 - 2.734
0.0 - 2.82
0.0 - 2.905
0.0 - 2.991
0.0 - 3.076
0.0 - 3.162
0.0 - 3.247
0.0 - 3.332
0.0 - 3.418
0.0 - 3.503
0.0 - 3.589
0.0 - 3.674
0.0 - 3.76
0.0 - 3.845
0.0 - 3.931
0.0 - 4.016
0.0 - 4.101
0.0 - 4.187
0.0 - 4.272
0.0 - 4.358
0.0 - 4.443
0.0 - 4.529
0.0 - 4.614
0.0 - 4.7
0.0 - 4.785
0.0 - 4.87
0.0 - 4.956
0.0 - 5.041
0.0 - 5.127
0.0 - 5.212
0.0 - 5.298
0.0 - 5.383
0.0 - 5.469
0.0 - 5.554
0.0 - 5.639
0.353 - 5.725
1.716 - 5.81
4.56 - 5.896
8.728 - 5.981
13.161 - 6.067
18.103 - 6.152
23.909 - 6.238
29.508 - 6.323
33.078 - 6.409
34.568 - 6.494
34.461 - 6.579
33.372 - 6.665
32.107 - 6.75
31.695 - 6.836
32.097 - 6.921
33.009 - 7.007
34.461 - 7.092
35.971 - 7.177
37.05 - 7.263
38.246 - 7.348
39.854 - 7.434
41.884 - 7.519
43.522 - 7.605
44.326 - 7.69
45.13 - 7.776
45.366 - 7.861
44.689 - 7.946
43.934 - 8.032
41.894 - 8.117
37.197 - 8.203
30.342 - 8.288
24.281 - 8.374
19.25 - 8.459
14.131 - 8.545
8.934 - 8.63
4.158 - 8.715
1.245 - 8.801
0.127 - 8.886
0.0 - 8.972
0.0 - 9.057
0.0 - 9.142
0.0 - 9.228
0.0 - 9.313
0.0 - 9.399
0.0 - 9.484
0.0 - 9.57
0.0 - 9.655
0.0 - 9.741
0.0 - 9.826
0.0 - 9.911
0.0 - 9.997
0.0 - 10.082
0.0 - 10.168
0.0 - 10.253
0.0 - 10.339
0.0 - 10.424
0.0 - 10.51
0.0 - 10.595
0.0 - 10.68
0.0 - 10.766
0.0 - 10.851
0.0 - 10.937
0.0 - 11.022
0.0 - 11.108
0.0 - 11.193
0.0 - 11.279
0.0 - 11.364
0.0 - 11.449
0.0 - 11.535
0.0 - 11.62
0.0 - 11.706
0.0 - 11.791
0.0 - 11.877
0.0 - 11.962
0.0 - 12.047
0.0 - 12.133
0.0 - 12.218
0.0 - 12.304
0.0 - 12.389
0.0 - 12.475
0.0 - 12.56
0.0 - 12.646
0.0 - 12.731
0.0 - 12.816
